vehicle_id,ultimo_timestamp,ultima_latitud,ultima_longitud
168,2022-01-31 19:02:41,,
169,2022-01-31 20:55:00,,
170,2022-01-31 23:58:29,,
171,2022-01-30 16:18:39,,
172,2022-01-11 13:01:14,,
173,2022-01-31 11:28:23,,
174,2022-01-31 16:56:10,,
175,2022-01-29 03:27:39,,
176,2022-01-27 08:36:35,,
177,2022-01-31 17:20:00,,
178,2022-01-31 11:55:25,,
179,2022-01-31 17:43:21,,
180,2022-01-31 07:48:41,,
181,2022-01-31 22:42:00,,
182,2022-01-31 12:15:26,,
183,2022-01-31 23:23:05,,
184,2022-01-12 16:01:45,,
185,2022-01-31 19:32:02,,
186,2022-01-31 23:58:11,,
187,2022-01-20 20:48:51,,
188,2022-01-31 22:24:19,,
189,2022-01-31 23:01:48,,
190,2022-01-31 08:12:02,,
191,2022-01-31 04:35:36,,
192,2022-01-29 13:31:00,,
193,2022-01-31 21:20:52,,
194,2022-01-31 22:40:55,,
195,2022-01-31 21:50:28,,
196,2022-01-31 22:56:00,,
197,2022-01-31 21:33:44,,
198,2022-01-31 22:49:08,,
200,2022-01-31 17:44:24,,
201,2022-01-28 11:32:02,,
202,2022-01-31 00:48:00,,
203,2022-01-31 05:41:30,,
205,2022-01-31 21:05:11,,
206,2022-01-21 03:41:05,,
207,2022-01-31 13:20:48,,
208,2022-01-31 09:23:23,,
209,2022-01-31 23:29:06,,
210,2022-01-31 15:23:48,,
211,2022-01-31 23:53:40,,
212,2022-01-31 18:58:18,,
213,2022-01-31 13:55:15,,
214,2022-01-21 13:36:46,,
215,2022-01-31 19:48:14,,
216,2022-01-31 22:44:09,,
217,2022-01-31 16:03:49,,
218,2022-01-31 14:36:56,,
219,2022-01-31 21:18:58,,
220,2022-01-31 13:24:57,,
221,2022-01-30 07:48:26,,
222,2022-01-31 21:24:42,,
223,2022-01-31 22:15:47,,
224,2022-01-31 23:02:51,,
225,2022-01-31 23:05:15,,
226,2022-01-31 23:32:53,,
227,2022-01-31 07:40:00,,
228,2022-01-31 20:15:36,,
229,2022-01-31 23:59:21,,
230,2022-01-31 23:58:59,,
231,2022-01-31 23:57:43,,
232,2022-01-31 23:55:27,,
233,2022-01-31 23:55:22,,
234,2022-01-31 23:57:46,,
235,2022-01-31 19:34:28,,
236,2022-01-31 23:58:58,,
237,2022-01-31 23:59:34,,
238,2022-01-31 23:52:11,,
